Isla	Estudio	Pradera	Sitio	Lat	Long	Profundidad	Fecha	Cober	Densidad 	Longitud	ZEC
Gran Canaria	Perez1996	Gando	A	27,9313	-15,3706	5	01/05/1995		1650	17,6	si
Lanzarote	Barberá.et.al.2005	El.Río	A	29,2162	-13,5044	14	12/10/2003	75	318	17,7	si
Gran Canaria	Perez1996	Burras		27,7639	-15,5361	7	01/07/1994		1409	17,7	no
Gran Canaria	Perez1996	Arinaga	enfilaciòn	27,8483	-15,3950	9	01/07/1994		2571	17,7	no
Tenerife	OAG	Lajón	TGr08	28,0816	-16,4849	13	01/09/2020		1408	17,7	no
Tenerife	CCV	Medano	A	28,0402	-16,5392	5	03/10/2004	92,2	396	17,75	si
Lanzarote	Rogelio	Mulata 	Mulata 2	28,8603	-13,8532	10	02/06/2013	30	392	17,77833333	no
Gran Canaria	Perez1996	Arinaga	enfilaciòn	27,8483	-15,3950	9	01/01/1995		1809	17,8	no
Gran Canaria	CCV	Gando	A	27,8704	-15,3850	8	22/10/2004	76,2	470	17,8	si
Tenerife	OAG	Lajón	TGr08	28,0816	-16,4849	13	01/09/2016		864	17,9	no
Tenerife	CIMA	Granadilla	BU6-final	28,0246	-16,5594	24,4	18/05/2004		262,4	17,92	no
Lanzarote	CCV	Caleta.Sebo	B	29,2273	-13,4998	10	10/10/2003	100	362	18	si
Gran Canaria	Perez1996	Ingles	Em N 800	27,7542	-15,5556	12	01/07/1995		1100	18	si
Gran Canaria	Perez1996	Arinaga	media	27,8508	-15,3975	5	01/10/1995		1498	18	no
Tenerife	OAG	La.Caleta	TGr04	28,0986	-16,4723	16	01/08/2017		346	18	si
Tenerife	OAG	Medio	TGr10	28,0715	-16,5008	14	01/02/2014		554	18	no
Fuerteventura	Barberá.et.al.2005	Corralejo	A	28,6706	-13,8293	16	17/03/2003	99	230	18,1	si
Gran Canaria	Perez1996	Pasito	100	27,7453	-15,6181	9	01/12/1994		666	18,2	no
Tenerife	OAG	Jaquita	TGr18	28,0463	-16,5248	17	01/09/2019		1205	18,2	si
Tenerife	CCV	Medano	A	28,0402	-16,5392	6	04/05/2004	100	548	18,2	si
Gran Canaria	Perez1996	Gando	media	27,9325	-15,3694	20	01/08/1995		1345	18,25	si
Lanzarote	CCV	Playa.Quemada	A	28,9044	-13,7348	9	14/10/2003	100	248	18,3	no
Gran Canaria	Proy.Venturi	Arinaga	INTERNA	27,8533	-15,3967	4	01/01/1995		1752	18,3	no
Tenerife	CIMA	Granadilla	BU5-centro	28,0263	-16,5904	12,4	01/09/2008		944	18,31	no
Tenerife	OAG	Charcón	TGr14	28,0608	-16,5088	14	01/03/2015		725	18,4	si
Tenerife	OAG	Tejita	TGr22	28,0277	-16,5600	12	01/03/2016		512	18,4	si
Fuerteventura	CCV	Guinijinamar	B	28,1984	-14,0733	10	14/03/2005	100	524	18,5	si
Tenerife	OAG	La.Caleta	TGr04	28,0986	-16,4723	16	01/09/2015		378	18,5	si
Tenerife	OAG	Tarajales	TGr05	28,0882	-16,4859	12	01/09/2020		485	18,5	no
Gran Canaria	Tuya.et.al.2013	Roque.Arinaga	A	27,8583	-15,3800	12	01/08/2011		108	18,6	no
Tenerife	CIMA	San.Blas 	M8	28,0253	-16,6005	10,5	12/10/2004		339,2	18,6	no
Gran Canaria	Perez1996	Arinaga	A	27,8533	-15,3967	5	01/05/1995		3078	18,6	no
Lanzarote	Elittoral.Reconocimiento.aguas	Playa.Quemada	B	28,9053	-13,7349	12	01/02/2009	53,2	300,8	18,66	no
